IP,Frequency
17.10.1.120,2
88.147.152.40,2
185.170.42.18,2
217.23.67.118,3
217.20.146.40,1
157.55.39.80,1
31.173.180.166,1
217.69.135.205,1
93.81.163.162,2
5.9.32.222,14
217.23.78.2,4
91.218.214.23,9
109.195.23.65,2
193.124.180.62,2
217.69.135.202,1
148.251.49.130,2
5.143.231.34,4
82.116.37.183,2
217.69.135.206,1
188.235.168.217,2
62.109.27.43,1
31.29.171.109,2
217.69.135.207,1
17.11.0.219,2
85.140.4.169,4
46.229.168.67,1
66.249.66.30,1
37.220.35.202,5
217.20.153.217,1
46.229.168.65,1
82.146.46.22,1
46.229.168.77,1
17.0.963.79,7
46.229.168.78,1
79.126.82.5,2
88.147.150.42,4
141.8.142.117,5
213.24.76.22,23
68.180.229.36,1
46.229.168.79,1
46.4.94.226,1
